"OriginalImageName","NewImageName","NewLabelName"
"000000000714_evt_000003_equipment_tooltip_opened.jpg","001.jpg","001.txt"
"000000013642_evt_000010_inventory_closed.jpg","002.jpg","002.txt"
"000000014396_evt_000008_screen_changed.jpg","003.jpg","003.txt"
"000000017289_evt_000012_equipment_tooltip_opened.jpg","004.jpg","004.txt"
"ScreenShot_2026-09-09_014455_782.png","005.png","005.txt"
"ScreenShot_2026-09-09_014500_756.png","006.png","006.txt"
"ScreenShot_2026-09-09_014526_823.png","007.png","007.txt"
"ScreenShot_2026-09-09_014536_089.png","008.png","008.txt"
"ScreenShot_2026-09-09_014543_807.png","009.png","009.txt"
"ScreenShot_2026-09-09_014555_440.png","010.png","010.txt"
"ScreenShot_2026-09-09_014603_713.png","011.png","011.txt"
"ScreenShot_2026-09-09_014608_716.png","012.png","012.txt"
"ScreenShot_2026-09-09_014613_916.png","013.png","013.txt"
"ScreenShot_2026-09-09_014618_715.png","014.png","014.txt"
"ScreenShot_2026-09-09_014623_171.png","015.png","015.txt"
"ScreenShot_2026-09-09_014644_831.png","016.png","016.txt"
"ScreenShot_2026-09-09_014649_375.png","017.png","017.txt"
"ScreenShot_2026-09-09_014653_480.png","018.png","018.txt"
"ScreenShot_2026-09-09_014657_594.png","019.png","019.txt"
"ScreenShot_2026-09-09_014702_649.png","020.png","020.txt"
"ScreenShot_2026-09-09_014707_211.png","021.png","021.txt"
"ScreenShot_2026-09-09_014711_433.png","022.png","022.txt"
"ScreenShot_2026-09-09_014717_077.png","023.png","023.txt"
"ScreenShot_2026-09-09_014722_100.png","024.png","024.txt"
"ScreenShot_2026-09-09_014726_533.png","025.png","025.txt"
"ScreenShot_2026-09-09_014739_967.png","026.png","026.txt"
"ScreenShot_2026-09-09_014744_384.png","027.png","027.txt"
"ScreenShot_2026-09-09_014748_547.png","028.png","028.txt"
"ScreenShot_2026-09-09_014753_191.png","029.png","029.txt"
"ScreenShot_2026-09-09_014758_658.png","030.png","030.txt"
"ScreenShot_2026-09-09_014803_351.png","031.png","031.txt"
"ScreenShot_2026-09-09_014810_439.png","032.png","032.txt"
"ScreenShot_2026-09-09_014821_140.png","033.png","033.txt"
"ScreenShot_2026-09-09_014825_632.png","034.png","034.txt"
"ScreenShot_2026-09-09_014829_820.png","035.png","035.txt"
"ScreenShot_2026-09-09_014842_812.png","036.png","036.txt"
"ScreenShot_2026-09-09_014849_006.png","037.png","037.txt"
"ScreenShot_2026-09-09_014853_692.png","038.png","038.txt"
"ScreenShot_2026-09-09_014859_201.png","039.png","039.txt"
"ScreenShot_2026-09-09_014903_539.png","040.png","040.txt"
"ScreenShot_2026-09-09_014907_387.png","041.png","041.txt"
"ScreenShot_2026-09-09_014911_054.png","042.png","042.txt"
"ScreenShot_2026-09-09_014915_450.png","043.png","043.txt"
"ScreenShot_2026-09-09_014919_530.png","044.png","044.txt"
"ScreenShot_2026-09-09_014923_221.png","045.png","045.txt"
"ScreenShot_2026-09-09_014932_498.png","046.png","046.txt"
"ScreenShot_2026-09-09_014936_941.png","047.png","047.txt"
"ScreenShot_2026-09-09_014941_205.png","048.png","048.txt"
"ScreenShot_2026-09-09_014945_900.png","049.png","049.txt"
"ScreenShot_2026-09-09_014949_881.png","050.png","050.txt"
"ScreenShot_2026-09-09_014954_679.png","051.png","051.txt"
"ScreenShot_2026-09-09_014959_823.png","052.png","052.txt"
"ScreenShot_2026-09-09_015005_716.png","053.png","053.txt"
"ScreenShot_2026-09-09_015010_263.png","054.png","054.txt"
"ScreenShot_2026-09-09_015014_375.png","055.png","055.txt"
"ScreenShot_2026-09-09_015024_521.png","056.png","056.txt"
"ScreenShot_2026-09-09_015029_357.png","057.png","057.txt"
"ScreenShot_2026-09-09_015034_012.png","058.png","058.txt"
